threshold,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp,cost,flagged_count,flagged_rate,model_name,model_mode
0.4800000000000001,0.9658048373644704,0.8726415094339622,0.9296482412060302,0.9002433090024331,0.9176587301587301,0.983929648241206,0.9547583367421166,1946,54,28,370,278.0,424,0.176814011676397,xgb_weighted,operational
0.49000000000000005,0.9670558798999166,0.8788598574821853,0.9296482412060302,0.9035409035409036,0.9190263288623944,0.983929648241206,0.9547583367421166,1949,51,28,370,275.0,421,0.1755629691409508,xgb_weighted,operational
0.5000000000000001,0.9687239366138448,0.8872901678657075,0.9296482412060302,0.9079754601226994,0.9208561473369836,0.983929648241206,0.9547583367421166,1953,47,28,370,271.0,417,0.1738949124270225,xgb_weighted,operational
0.5100000000000001,0.9687239366138448,0.8872901678657075,0.9296482412060302,0.9079754601226994,0.9208561473369836,0.983929648241206,0.9547583367421166,1953,47,28,370,271.0,417,0.1738949124270225,xgb_weighted,operational
0.5200000000000001,0.9699749791492911,0.893719806763285,0.9296482412060302,0.9113300492610837,0.922233300099701,0.983929648241206,0.9547583367421166,1956,44,28,370,268.0,414,0.17264386989157632,xgb_weighted,operational
0.5300000000000001,0.9712260216847373,0.9002433090024331,0.9296482412060302,0.9147095179233622,0.9236145781328008,0.983929648241206,0.9547583367421166,1959,41,28,370,265.0,411,0.1713928273561301,xgb_weighted,operational
0.5400000000000001,0.9720600500417014,0.9046454767726161,0.9296482412060302,0.9169764560099133,0.9245377311344328,0.983929648241206,0.9547583367421166,1961,39,28,370,263.0,409,0.17055879899916598,xgb_weighted,operational
0.5500000000000002,0.9728940783986656,0.9090909090909091,0.9296482412060302,0.9192546583850931,0.9254627313656828,0.983929648241206,0.9547583367421166,1963,37,28,370,261.0,407,0.16972477064220184,xgb_weighted,operational
0.5600000000000002,0.9728940783986656,0.9111111111111111,0.9271356783919598,0.9190535491905355,0.9238858287431146,0.983929648241206,0.9547583367421166,1964,36,29,369,268.0,405,0.1688907422852377,xgb_weighted,operational
0.5700000000000002,0.9733110925771477,0.9133663366336634,0.9271356783919598,0.9201995012468828,0.9243486973947895,0.983929648241206,0.9547583367421166,1965,35,29,369,267.0,404,0.16847372810675562,xgb_weighted,operational
0.5800000000000002,0.9733110925771477,0.9133663366336634,0.9271356783919598,0.9201995012468828,0.9243486973947895,0.983929648241206,0.9547583367421166,1965,35,29,369,267.0,404,0.16847372810675562,xgb_weighted,operational
0.5900000000000002,0.9737281067556297,0.9156327543424317,0.9271356783919598,0.9213483146067416,0.924812030075188,0.983929648241206,0.9547583367421166,1966,34,29,369,266.0,403,0.16805671392827357,xgb_weighted,operational
0.6000000000000002,0.9737281067556297,0.9156327543424317,0.9271356783919598,0.9213483146067416,0.924812030075188,0.983929648241206,0.9547583367421166,1966,34,29,369,266.0,403,0.16805671392827357,xgb_weighted,operational
0.6100000000000001,0.9737281067556297,0.9156327543424317,0.9271356783919598,0.9213483146067416,0.924812030075188,0.983929648241206,0.9547583367421166,1966,34,29,369,266.0,403,0.16805671392827357,xgb_weighted,operational
0.6200000000000001,0.9733110925771477,0.9154228855721394,0.9246231155778895,0.92,0.9227683049147443,0.983929648241206,0.9547583367421166,1966,34,30,368,274.0,402,0.16763969974979148,xgb_weighted,operational
0.6300000000000001,0.9733110925771477,0.9154228855721394,0.9246231155778895,0.92,0.9227683049147443,0.983929648241206,0.9547583367421166,1966,34,30,368,274.0,402,0.16763969974979148,xgb_weighted,operational
0.6400000000000001,0.9728940783986656,0.9152119700748129,0.9221105527638191,0.918648310387985,0.9207225288509784,0.983929648241206,0.9547583367421166,1966,34,31,367,282.0,401,0.16722268557130943,xgb_weighted,operational
0.6500000000000001,0.9728940783986656,0.9152119700748129,0.9221105527638191,0.918648310387985,0.9207225288509784,0.983929648241206,0.9547583367421166,1966,34,31,367,282.0,401,0.16722268557130943,xgb_weighted,operational
0.6600000000000001,0.9733110925771477,0.9175,0.9221105527638191,0.9197994987468672,0.9211847389558233,0.983929648241206,0.9547583367421166,1967,33,31,367,281.0,400,0.16680567139282734,xgb_weighted,operational
0.6700000000000002,0.9733110925771477,0.9175,0.9221105527638191,0.9197994987468672,0.9211847389558233,0.983929648241206,0.9547583367421166,1967,33,31,367,281.0,400,0.16680567139282734,xgb_weighted,operational
0.6800000000000002,0.9737281067556297,0.9197994987468672,0.9221105527638191,0.9209535759096612,0.9216474133601206,0.983929648241206,0.9547583367421166,1968,32,31,367,280.0,399,0.1663886572143453,xgb_weighted,operational
